time,ax,ay,az,aT
3.6750,-2.3204,-6.0030,0.2450,6.441
3.6870,-2.1267,-6.7108,-0.0502,7.040
3.6940,-1.9519,-7.3565,-0.4518,7.624
3.7050,-1.9263,-7.7803,-0.6596,8.042
3.7170,-1.9972,-8.1041,-0.8445,8.389
3.7240,-2.2227,-8.2359,-0.9176,8.580
3.7430,-2.4892,-8.2153,-0.9736,8.639
3.7450,-2.7406,-8.2600,-1.0889,8.771
3.7570,-2.9295,-8.3043,-1.3492,8.909
3.7670,-3.0374,-8.4888,-1.4169,9.127
3.7740,-3.0933,-8.6470,-1.5212,9.309
3.7850,-3.1985,-8.8883,-1.4893,9.563
3.7940,-3.2424,-8.9103,-1.5473,9.607
3.8050,-3.3051,-8.9160,-1.5141,9.629
3.8160,-3.4440,-8.8228,-1.4306,9.579
3.8250,-3.6208,-8.6240,-1.4414,9.464
3.8350,-3.7353,-8.5787,-1.5351,9.482
3.8440,-3.7925,-8.5160,-1.6383,9.465
3.8550,-3.7879,-8.5366,-1.5942,9.474
3.8680,-3.8654,-8.4652,-1.6356,9.449
3.8740,-3.9154,-8.5372,-1.5751,9.523
3.8890,-3.9623,-8.4808,-1.5457,9.487
3.8950,-4.1647,-8.5213,-1.3785,9.584
3.9060,-4.3466,-8.4666,-1.2161,9.595
3.9160,-4.5374,-8.5690,-1.0215,9.750
3.9240,-4.7673,-8.5771,-0.9110,9.855
3.9360,-4.8887,-8.7225,-0.5940,10.017
3.9450,-4.7256,-8.8777,-0.1922,10.059
3.9560,-4.0352,-9.2256,0.1598,10.071
3.9650,-3.1147,-9.6251,0.4559,10.127
3.9750,-2.2117,-10.0483,0.5179,10.302
3.9870,-1.3430,-10.3098,0.4056,10.405
4.0120,-1.0653,-10.1999,0.3143,10.260
4.0160,-1.3466,-9.5664,0.3113,9.666
4.0270,-1.6436,-8.7729,0.5760,8.944
4.0290,-1.6256,-7.9552,0.8154,8.160
4.0500,-1.3741,-7.5129,1.3134,7.750
4.0520,-0.5987,-7.3786,1.6969,7.595
4.0590,0.3327,-7.6111,1.8627,7.843
4.0690,1.2389,-7.9052,1.9346,8.232
4.0760,2.2466,-8.1417,1.9079,8.659
4.0850,3.5265,-8.3131,2.0580,9.262
4.0940,4.7468,-8.5221,2.2301,10.007
4.1050,6.2426,-8.2687,2.3916,10.633
4.1170,7.6019,-7.7012,2.8216,11.183
4.1260,8.9040,-6.8856,3.2086,11.704
4.1350,9.4664,-5.5822,3.8532,11.646
4.1440,9.3261,-4.0459,4.2212,11.007
4.1570,8.3890,-2.1801,4.0541,9.569
4.1830,7.0806,-0.4313,3.6379,7.972
4.1850,5.8673,1.0216,3.2426,6.781
4.1870,4.5889,2.0689,2.8278,5.774
4.1980,3.3629,2.9066,2.3137,5.011
4.2080,2.2223,3.5447,1.8777,4.586
4.2160,1.1148,3.8876,1.5675,4.337
4.2260,0.2581,4.1247,1.2502,4.318
4.2360,-0.3612,4.3327,1.0597,4.475
4.2450,-0.6113,4.3274,0.8280,4.448
4.2560,-0.6212,4.2502,0.4735,4.321
4.2680,-0.3771,4.0785,0.2013,4.101
4.2750,0.1480,3.8223,-0.1406,3.828
4.2880,0.7454,3.5202,-0.3169,3.612
4.2940,1.2417,3.1027,-0.4518,3.372
4.3240,1.5537,2.7683,-0.5312,3.219
4.3290,1.8107,2.5711,-0.5834,3.198
4.3310,1.8827,2.5535,-0.5794,3.225
4.3390,1.7909,2.5743,-0.5026,3.176
4.3490,1.7490,2.5164,-0.3280,3.082
4.3590,1.8025,2.4251,-0.2207,3.030
4.3700,1.9064,2.4422,-0.1783,3.103
4.3760,2.0061,2.4597,-0.1416,3.177
