time,ax,ay,az,aT
32.3090,3.2370,-5.3261,1.2594,6.359
32.3190,3.4292,-5.6930,1.1450,6.744
32.3280,3.4876,-5.9437,1.1502,6.987
32.3390,3.5163,-6.1728,1.0275,7.178
32.4160,3.4720,-6.3206,1.0424,7.286
32.4180,3.4897,-6.4849,1.0189,7.434
32.4190,3.5166,-6.4873,0.9914,7.445
32.4200,3.4292,-6.6395,1.0024,7.540
32.4200,3.3521,-6.8023,0.9220,7.639
32.4210,3.2287,-7.1115,0.8027,7.851
32.4210,3.2361,-7.4174,0.6974,8.123
32.4220,3.2670,-7.4069,0.6456,8.121
32.4310,3.1900,-7.4777,0.6996,8.160
32.4390,2.9862,-7.6057,0.5423,8.189
32.4480,3.0819,-7.6000,0.2778,8.206
32.4580,3.4246,-7.3281,0.1649,8.090
32.4680,3.8659,-6.8725,0.3525,7.893
32.4780,4.2835,-6.3761,0.6074,7.705
32.5540,4.6220,-5.7328,1.0514,7.439
32.5550,4.5217,-5.1933,1.4168,7.030
32.5560,4.3411,-4.7913,1.6362,6.669
32.5570,3.8611,-4.6745,1.6879,6.293
32.5580,3.4494,-4.5276,1.5536,5.900
32.5590,3.1461,-4.4705,1.2096,5.599
32.5600,2.9834,-4.3272,0.7720,5.312
32.5600,2.7978,-4.3632,0.3886,5.198
32.5700,2.6123,-4.3959,-0.0243,5.114
32.5800,2.5653,-4.2654,-0.3829,4.992
32.5870,2.5165,-4.0825,-0.6505,4.840
32.6020,2.5505,-3.7222,-0.8508,4.592
32.6090,2.5363,-3.3047,-0.8844,4.259
32.6740,2.2094,-2.7622,-0.6853,3.603
32.6760,1.8254,-2.1786,-0.4924,2.885
32.6770,1.3762,-1.6154,-0.2254,2.134
32.6780,1.1210,-1.1566,-0.0770,1.613
32.6800,0.6644,-0.8299,-0.1015,1.068
32.6810,0.3526,-0.5558,-0.1203,0.669
32.6820,0.0152,-0.3745,-0.3380,0.505
32.6890,-0.1492,-0.3228,-0.6019,0.699
32.6980,-0.1352,-0.4004,-0.7740,0.882
32.7090,-0.0135,-0.5456,-0.9792,1.121
32.7180,0.0076,-0.7921,-1.2460,1.477
32.7280,0.1280,-0.9612,-1.3043,1.625
32.7400,0.2310,-0.9791,-1.3235,1.662
32.8120,0.1651,-1.0003,-1.0900,1.489
32.8140,-0.1576,-0.9851,-0.8899,1.337
32.8150,-0.8151,-0.7508,-0.5315,1.229
32.8160,-1.3987,-0.4338,-0.1114,1.469
32.8170,-1.8875,-0.1561,-0.0385,1.894
32.8170,-2.3481,0.2686,0.2026,2.372
32.8180,-2.6904,0.5638,0.3799,2.775
32.8190,-2.9244,0.9508,0.5484,3.124
32.8280,-3.1996,1.3208,0.5089,3.499
32.8380,-3.4533,1.5406,0.4127,3.804
32.8480,-3.6696,1.7528,0.2076,4.072
32.8580,-3.9363,1.8826,-0.0530,4.364
32.8700,-4.2104,2.0018,-0.3001,4.672
32.8790,-4.3110,2.1230,-0.5438,4.836
32.8900,-4.4725,2.2732,-0.7037,5.066
32.9700,-4.4952,2.3268,-0.9768,5.155
32.9730,-4.5913,2.4467,-1.1143,5.321
32.9740,-4.6442,2.4789,-1.2104,5.402
32.9750,-4.6882,2.5870,-1.1931,5.486
32.9770,-4.8341,2.6952,-1.4411,5.719
32.9780,-4.9915,2.7849,-1.5467,5.921
32.9790,-5.4290,2.9042,-1.5850,6.358
32.9800,-5.6630,3.1062,-1.5225,6.636
32.9830,-6.1006,3.2063,-1.7178,7.103
32.9910,-7.1211,2.7888,-2.0456,7.917
32.9980,-7.9844,2.2304,-2.1815,8.572
33.0080,-8.5408,1.6763,-2.2076,8.979
33.0220,-8.5394,1.4655,-1.9072,8.872
33.1070,-8.5192,1.1259,-1.5695,8.735
33.1090,-8.4982,0.8464,-1.0743,8.608
33.1100,-7.8659,1.3183,-0.2485,7.979
33.1110,-7.1013,2.1973,0.6932,7.466
33.1110,-6.7226,2.9106,1.3363,7.446
33.1120,-6.9758,3.4940,1.4518,7.936
33.1130,-7.5184,3.7844,1.1415,8.494
33.1150,-8.0858,3.7878,0.4713,8.941
33.1150,-8.2926,3.7145,0.0001,9.086
33.1180,-8.1096,3.6798,-0.1443,8.907
33.1280,-7.8095,3.4521,-0.0398,8.539
33.1370,-7.3208,2.8609,-0.1464,7.861
33.1490,-6.9062,2.1437,-0.0906,7.232
33.1570,-6.4795,1.4437,-0.0635,6.639
33.1700,-6.0382,0.9059,0.1148,6.107
33.1770,-5.5893,0.3996,0.5111,5.627
33.2420,-5.0350,-0.0216,0.6974,5.083
33.2440,-4.6802,-0.3847,1.0604,4.814
33.2450,-4.2937,-0.5535,1.4650,4.570
33.2480,-3.9898,-0.5476,1.9438,4.472
33.2480,-3.7113,-0.4912,2.2881,4.388
33.2490,-3.4332,-0.4519,2.3996,4.213
33.2500,-3.1594,-0.5744,2.1483,3.864
33.2580,-2.7712,-0.9980,2.0343,3.580
33.2680,-2.3485,-1.3944,1.9996,3.385
33.2830,-1.8650,-1.8013,2.2226,3.415
33.2940,-1.2925,-2.1287,2.5903,3.593
33.3100,-0.8833,-2.3622,2.8535,3.808
33.4330,-0.4470,-2.6277,2.9733,3.993
33.4350,-0.1067,-3.0248,2.8667,4.169
33.4360,0.2419,-3.3023,2.6624,4.249
33.4370,0.5854,-3.5001,2.4097,4.290
33.4380,1.0091,-3.6724,2.1554,4.376
33.4380,1.5117,-3.7819,1.9739,4.526
33.4400,1.9444,-3.8624,1.7917,4.681
33.4410,2.2725,-3.9316,1.6616,4.836
33.4410,2.5776,-4.1032,1.4311,5.053
33.4420,2.6951,-4.2397,1.3620,5.205
33.4430,3.0031,-4.3104,1.3375,5.421
33.4440,3.3221,-4.3105,1.1806,5.569
33.4450,3.5006,-4.3121,1.2294,5.689
33.4470,3.6766,-4.4776,1.1387,5.905
33.4500,3.8157,-4.6158,1.1203,6.093
33.4580,3.8083,-4.7983,0.9102,6.193
