time,ax,ay,az,aT
4.1970,1.8013,-3.8242,0.6124,4.271
4.2050,1.2019,-4.1092,1.0676,4.412
4.2140,0.2831,-4.4219,1.3975,4.646
4.2280,-0.8515,-4.6992,1.3655,4.967
4.2370,-1.9474,-4.9456,1.0640,5.421
4.2470,-2.7192,-5.0234,0.5762,5.741
4.2540,-2.9773,-5.4208,0.1040,6.185
4.2680,-2.9359,-5.9363,-0.3753,6.633
4.3030,-2.9068,-6.2576,-0.4497,6.914
4.3080,-2.8721,-6.5847,-0.3627,7.193
4.3100,-2.7308,-6.7503,-0.1495,7.283
4.3120,-2.7506,-7.0109,0.0134,7.531
4.3160,-2.8040,-7.2600,0.1966,7.785
4.3290,-2.9016,-7.5436,0.3280,8.089
4.3360,-3.0623,-7.8332,0.2512,8.414
4.3450,-3.4767,-8.0450,0.0650,8.764
4.3550,-3.9412,-8.3083,-0.3755,9.203
4.3690,-4.6374,-8.5124,-0.6320,9.714
4.3780,-5.5867,-8.5446,-0.4771,10.220
4.3850,-6.8465,-8.5069,-0.1396,10.921
4.3970,-8.0934,-8.6426,0.2939,11.844
4.4040,-8.8658,-8.7861,0.6044,12.496
4.4250,-9.0798,-8.7978,0.3614,12.648
4.4280,-8.6397,-8.9031,-0.1137,12.407
4.4390,-7.6723,-9.1598,-0.6423,11.966
4.4510,-7.9679,-9.5183,-1.1057,12.462
4.4650,-8.9966,-9.6442,-1.4621,13.270
4.4690,-10.2363,-9.5171,-1.3744,14.044
4.4910,-11.4566,-9.6418,-0.9982,15.007
4.4940,-11.8197,-10.3366,-0.6121,15.714
4.5210,-11.0006,-11.4930,-0.9069,15.935
4.5260,-9.6232,-12.1206,-1.6347,15.562
4.5290,-9.0579,-11.9176,-1.9639,15.097
4.5300,-9.2811,-11.1568,-1.8857,14.635
4.5340,-10.0625,-10.5368,-1.3726,14.634
4.5610,-10.5298,-10.1723,-0.7912,14.662
4.5660,-9.7100,-10.4511,-0.0421,14.266
4.5680,-7.7356,-11.2745,0.4232,13.680
4.5850,-5.3657,-11.8198,0.6871,12.999
4.5920,-3.1634,-11.8158,0.6628,12.250
4.5960,-1.4054,-11.3569,0.0760,11.444
4.6220,-0.3130,-10.8894,-0.9799,10.938
4.6270,0.1366,-10.4039,-2.3680,10.671
4.6290,-0.0975,-9.9607,-3.7983,10.661
4.6350,-0.5365,-9.6834,-5.2096,11.009
4.6500,-0.9392,-9.3481,-6.1360,11.221
4.6560,-1.2506,-9.0766,-6.3223,11.132
4.6860,-1.5213,-8.6063,-5.5703,10.364
4.6880,-1.6629,-8.0823,-4.2191,9.268
4.6900,-1.6991,-7.4114,-2.6990,8.068
4.6960,-1.5565,-6.8650,-1.3722,7.172
4.7070,-1.1870,-6.4031,-0.2984,6.519
4.7210,-0.8457,-5.9492,0.6082,6.040
4.7490,-0.3456,-5.4426,0.8714,5.523
4.7520,0.2214,-4.9201,0.7959,4.989
4.7530,0.8149,-4.5673,0.3364,4.652
4.7640,1.4016,-4.2316,-0.3659,4.473
4.7710,2.0331,-3.8859,-0.9581,4.489
4.7780,2.5714,-3.6111,-1.3827,4.644
4.7840,2.9220,-3.3424,-1.5792,4.712
4.8030,3.2434,-3.2080,-1.5688,4.824
4.8080,3.3907,-2.9600,-1.4655,4.734
4.8150,3.7191,-2.6489,-1.2092,4.723
4.8260,4.2010,-2.3989,-1.0634,4.953
4.8350,4.7232,-2.1213,-0.8364,5.245
4.8460,5.2014,-1.7892,-0.6260,5.536
4.8530,5.5802,-1.3608,-0.4866,5.764
4.8650,5.9624,-0.9613,-0.4009,6.053
4.8740,6.3080,-0.5766,-0.4237,6.348
4.8990,6.5012,-0.2066,-0.3657,6.515
4.9030,6.6994,-0.0232,-0.4266,6.713
4.9070,6.8911,0.1172,-0.3390,6.900
4.9210,7.3574,0.1972,-0.1976,7.363
4.9290,7.8035,0.1650,0.3670,7.814
4.9340,8.2183,0.4538,1.0228,8.294
4.9490,8.7020,0.7270,1.5565,8.870
4.9540,9.2738,0.8162,2.0273,9.528
4.9640,9.9790,0.9040,2.4188,10.308
4.9840,10.5204,1.1154,2.8895,10.967
4.9880,11.1466,1.5375,3.2757,11.719
5.0160,11.9183,1.9608,3.7961,12.661
5.0190,12.7575,2.0229,4.2453,13.597
5.0200,13.8314,1.7923,4.7490,14.733
5.0310,14.6117,1.6348,5.2696,15.619
5.0360,15.0128,1.8307,5.8501,16.216
5.0470,15.2032,2.0772,6.1091,16.516
5.0530,15.2005,2.2954,5.7314,16.407
5.0670,14.8064,2.6683,5.2961,15.950
5.0830,14.4117,2.8581,4.9119,15.492
5.0920,13.9437,2.9868,4.5322,14.963
5.1000,13.1927,2.9627,4.1133,14.133
5.1080,12.3031,2.8365,3.5950,13.128
5.1150,11.4570,2.6731,3.2915,12.216
5.1300,10.6699,2.4420,2.9068,11.325
5.1400,10.0905,2.0034,2.5221,10.592
5.1830,9.4442,1.4464,2.2442,9.814
5.1850,8.9754,0.8131,2.0558,9.244
5.1860,8.6885,0.0498,2.1798,8.958
5.1880,8.8368,-0.8104,2.1391,9.128
5.1900,8.9878,-1.7157,1.9423,9.354
5.1980,9.0294,-2.5131,1.8486,9.553
5.2130,8.8001,-2.9996,1.7142,9.454
5.2170,8.2370,-3.2112,1.3473,8.943
5.2280,7.5511,-3.6820,0.9133,8.450
5.2360,6.7617,-4.1803,0.4725,7.964
5.2500,5.7774,-4.6236,0.0657,7.400
5.2560,4.4634,-5.0416,-0.1274,6.735
5.2660,3.4506,-5.5951,-0.3039,6.581
5.2800,2.8273,-6.4490,-0.5545,7.063
5.2850,2.4763,-7.4165,-0.7267,7.853
5.2950,2.2704,-8.2459,-1.0041,8.611
5.3050,1.6896,-8.5891,-1.4781,8.878
5.3210,1.0756,-8.7448,-2.1039,9.058
5.3250,0.3167,-8.8584,-2.3979,9.183
5.3700,-0.7989,-8.8245,-2.2339,9.138
5.3720,-2.0585,-8.5980,-1.8440,9.031
5.3730,-2.8244,-8.7973,-1.5089,9.362
5.3760,-3.1072,-9.3615,-0.8010,9.896
5.3840,-3.1926,-9.6085,-0.2835,10.129
5.3870,-3.2609,-9.4245,0.1829,9.974
5.3980,-3.0906,-9.3884,0.3858,9.892
5.4050,-3.1394,-9.6332,0.1993,10.134
5.4180,-3.7458,-9.8495,-0.1614,10.539
5.4230,-5.0451,-10.0452,-0.6968,11.263
5.4390,-6.4758,-9.9915,-1.1338,11.960
5.4680,-7.5471,-10.2558,-1.3859,12.809
5.4710,-8.2675,-10.6158,-1.4016,13.528
5.5040,-8.7189,-10.4576,-1.4536,13.693
5.5060,-8.9230,-9.8848,-1.5953,13.412
5.5080,-8.6042,-9.4686,-1.6860,12.905
5.5090,-8.2685,-9.4057,-1.7907,12.651
5.5110,-8.6845,-9.3487,-1.6349,12.864
5.5460,-9.5947,-9.0680,-1.3779,13.273
5.5480,-10.4822,-9.0778,-0.7450,13.887
5.5500,-10.5860,-10.1010,-0.2594,14.634
5.5520,-9.7538,-11.8616,-0.4780,15.364
5.5880,-9.4041,-12.5728,-1.1450,15.742
5.5900,-10.0835,-11.7928,-1.5431,15.593
5.5940,-10.9206,-10.6909,-1.6804,15.375
5.5960,-11.6613,-10.2457,-1.7768,15.624
5.5990,-11.7162,-10.0988,-1.6343,15.554
5.6310,-10.3186,-10.6471,-1.2288,14.878
5.6340,-8.4010,-11.5723,-0.7098,14.318
5.6360,-6.5556,-11.9065,-0.6448,13.607
5.6390,-4.8143,-11.9257,-0.5709,12.873
5.6510,-3.5440,-11.7744,-0.8813,12.328
5.6540,-2.7250,-11.4298,-1.1892,11.810
5.6680,-2.2372,-11.2274,-1.8930,11.604
5.6730,-1.8218,-11.1613,-2.6726,11.621
5.6960,-1.5123,-11.1763,-3.4971,11.808
5.7000,-1.3799,-11.2222,-3.9614,11.981
5.7060,-1.4288,-10.8913,-4.0848,11.720
5.7190,-1.6991,-10.1812,-3.6723,10.956
