time,gFx,gFy,gFz,TgF
0.446000,0.5106,0.0068,0.7772,0.930
0.448000,0.4999,0.0489,0.7842,0.931
0.450000,0.4977,0.1180,0.8045,0.953
0.452000,0.5438,0.1068,0.8197,0.989
0.454000,0.5661,0.0914,0.8197,1.000
0.456000,0.5864,0.0684,0.7987,0.993
0.459000,0.5763,0.0603,0.7630,0.958
0.463000,0.5695,0.0542,0.7452,0.939
0.463000,0.5605,0.0344,0.7166,0.910
0.465000,0.5595,0.0125,0.6960,0.893
0.466000,0.5595,0.0049,0.6892,0.888
0.468000,0.5675,-0.0068,0.6777,0.884
0.470000,0.5856,-0.0100,0.6728,0.892
0.472000,0.5964,-0.0073,0.6697,0.897
0.474000,0.6232,0.0059,0.6599,0.908
0.476000,0.6491,0.0286,0.6457,0.916
0.478000,0.6601,0.0432,0.6372,0.918
0.480000,0.6780,0.0770,0.6196,0.922
0.482000,0.6890,0.1136,0.6049,0.924
0.484000,0.6929,0.1314,0.5998,0.926
0.486000,0.6975,0.1671,0.5908,0.929
0.488000,0.7019,0.1957,0.5929,0.939
0.492000,0.7066,0.2084,0.5951,0.947
0.494000,0.7200,0.2287,0.6037,0.967
0.495000,0.7361,0.2419,0.6115,0.987
0.497000,0.7447,0.2472,0.6142,0.996
0.498000,0.7623,0.2553,0.6223,1.017
0.500000,0.7798,0.2614,0.6325,1.038
0.502000,0.7891,0.2626,0.6367,1.047
0.504000,0.8021,0.2602,0.6381,1.057
0.508000,0.8133,0.2560,0.6325,1.062
0.510000,0.8163,0.2556,0.6284,1.061
0.511000,0.8194,0.2512,0.6157,1.055
0.513000,0.8206,0.2433,0.6015,1.046
0.514000,0.8221,0.2409,0.5951,1.043
0.516000,0.8211,0.2385,0.5822,1.034
0.518000,0.8182,0.2402,0.5746,1.028
0.520000,0.8170,0.2392,0.5729,1.026
0.522000,0.8172,0.2272,0.5714,1.023
0.529000,0.8150,0.2106,0.5671,1.015
0.530000,0.8106,0.2016,0.5627,1.007
0.531000,0.7921,0.1920,0.5521,0.984
0.533000,0.7652,0.2042,0.5470,0.963
0.536000,0.7657,0.2218,0.5456,0.966
0.540000,0.7872,0.2062,0.5375,0.975
0.544000,0.8104,0.1852,0.5245,0.983
0.545000,0.8216,0.1766,0.5155,0.986
0.546000,0.8453,0.1698,0.5006,0.997
0.547000,0.8778,0.1698,0.5035,1.026
0.552000,0.8974,0.1725,0.5131,1.048
0.554000,0.9377,0.1852,0.5429,1.099
0.555000,0.9746,0.1928,0.5683,1.144
0.556000,0.9907,0.2104,0.5754,1.165
0.557000,1.0171,0.2336,0.5756,1.192
0.558000,1.0330,0.2573,0.5565,1.201
0.558000,1.0381,0.2670,0.5397,1.200
0.567000,1.0369,0.2758,0.5004,1.184
0.568000,1.0444,0.2800,0.4600,1.175
0.569000,1.0510,0.2878,0.4378,1.174
0.569000,1.0623,0.2995,0.3921,1.171
0.570000,1.0760,0.3066,0.3692,1.178
0.571000,1.0826,0.3208,0.3286,1.176
0.571000,1.0984,0.3354,0.3032,1.188
0.572000,1.1072,0.3530,0.2814,1.196
0.580000,1.1085,0.3650,0.2692,1.198
0.581000,1.0992,0.3828,0.2404,1.188
0.582000,1.0860,0.3977,0.2072,1.175
0.583000,1.0764,0.4009,0.1867,1.164
0.584000,1.0557,0.3990,0.1356,1.137
0.586000,1.0432,0.3850,0.0836,1.115
0.586000,1.0391,0.3726,0.0596,1.105
0.588000,1.0330,0.3467,0.0181,1.090
0.595000,1.0237,0.3342,0.0000,1.077
0.597000,1.0178,0.3122,-0.0296,1.065
0.598000,1.0093,0.2932,-0.0472,1.052
0.599000,1.0000,0.2795,-0.0567,1.040
0.599000,0.9961,0.2736,-0.0613,1.035
0.600000,0.9846,0.2575,-0.0699,1.020
0.602000,0.9704,0.2482,-0.0740,1.004
0.604000,0.9748,0.2363,-0.0774,1.006
0.607000,1.0093,0.2453,-0.0767,1.041
0.609000,1.0281,0.2570,-0.0784,1.063
0.610000,1.0505,0.2812,-0.0801,1.090
0.612000,1.0596,0.3069,-0.0647,1.105
0.615000,1.0535,0.3394,-0.0249,1.107
0.617000,1.0420,0.3552,-0.0010,1.101
0.618000,1.0129,0.3770,0.0440,1.082
0.620000,0.9907,0.3765,0.0831,1.063
0.622000,0.9875,0.3660,0.0997,1.058
0.629000,0.9956,0.3320,0.1224,1.057
0.630000,1.0149,0.2888,0.1407,1.065
0.631000,1.0225,0.2683,0.1520,1.068
0.632000,1.0339,0.2387,0.1769,1.076
0.637000,1.0347,0.2292,0.1859,1.076
0.641000,1.0149,0.2218,0.1979,1.058
0.643000,0.9909,0.2194,0.2096,1.036
0.644000,0.9773,0.2162,0.2106,1.023
0.653000,0.9479,0.2018,0.1957,0.989
0.655000,0.9162,0.1656,0.1698,0.946
0.661000,0.9242,0.1353,0.1529,0.947
0.662000,0.9399,0.1295,0.1390,0.959
0.663000,0.9570,0.1219,0.0948,0.969
0.664000,0.9616,0.1214,0.0831,0.973
0.666000,0.9724,0.1378,0.0880,0.986
0.667000,0.9660,0.1674,0.1129,0.987
0.669000,0.9467,0.1942,0.1412,0.977
0.669000,0.9365,0.2025,0.1534,0.970
0.670000,0.9262,0.2072,0.1600,0.962
0.671000,0.9291,0.2074,0.1527,0.964
0.672000,0.9433,0.1925,0.1251,0.971
0.677000,0.9560,0.1590,0.0899,0.973
0.678000,0.9638,0.1424,0.0701,0.977
0.679000,0.9824,0.1143,0.0357,0.990
0.681000,0.9846,0.0858,0.0034,0.988
0.682000,0.9824,0.0760,-0.0188,0.985
0.683000,0.9802,0.0687,-0.0188,0.983
0.703000,0.9704,0.0730,-0.0103,0.973
0.708000,0.9619,0.0782,-0.0078,0.965
0.722000,0.9394,0.0858,-0.0032,0.943
0.723000,0.9137,0.0892,0.0027,0.918
0.725000,0.9037,0.0855,0.0088,0.908
0.726000,0.8949,0.0745,-0.0010,0.898
0.728000,0.8964,0.0577,-0.0406,0.899
0.729000,0.9020,0.0474,-0.0630,0.905
0.731000,0.9071,0.0366,-0.1031,0.914
0.733000,0.8900,0.0188,-0.1207,0.898
0.734000,0.8624,-0.0029,-0.1346,0.873
0.736000,0.8509,-0.0125,-0.1488,0.864
0.738000,0.8346,-0.0305,-0.1720,0.853
0.739000,0.8148,-0.0545,-0.1913,0.839
0.739000,0.8050,-0.0643,-0.1991,0.832
0.740000,0.7982,-0.0738,-0.2155,0.830
0.741000,0.7957,-0.0752,-0.2209,0.829
0.741000,0.7913,-0.0682,-0.2323,0.828
0.742000,0.7808,-0.0545,-0.2424,0.819
0.742000,0.7715,-0.0469,-0.2406,0.810
0.743000,0.7618,-0.0242,-0.2448,0.801
0.743000,0.7542,-0.0081,-0.2536,0.796
0.743000,0.7547,-0.0007,-0.2592,0.798
0.744000,0.7637,0.0151,-0.2717,0.811
0.744000,0.7664,0.0298,-0.2878,0.819
0.744000,0.7654,0.0376,-0.2920,0.820
0.745000,0.7806,0.0430,-0.2797,0.830
0.745000,0.7904,0.0447,-0.2582,0.833
0.745000,0.7945,0.0501,-0.2397,0.831
0.746000,0.7916,0.0542,-0.2321,0.827
