time,gFx,gFy,gFz,TgF
0.469000,-0.6946,-0.6897,0.2707,1.016
0.470000,-0.7007,-0.6934,0.2663,1.021
0.473000,-0.7036,-0.6919,0.2621,1.021
0.474000,-0.7134,-0.6870,0.2551,1.023
0.477000,-0.7246,-0.6831,0.2514,1.027
0.479000,-0.7303,-0.6797,0.2502,1.029
0.481000,-0.7388,-0.6728,0.2487,1.030
0.483000,-0.7454,-0.6599,0.2477,1.026
0.486000,-0.7486,-0.6540,0.2497,1.025
0.488000,-0.7566,-0.6421,0.2553,1.025
0.490000,-0.7698,-0.6303,0.2653,1.030
0.491000,-0.7730,-0.6254,0.2687,1.030
0.497000,-0.7752,-0.6130,0.2697,1.024
0.499000,-0.7742,-0.6113,0.2692,1.023
0.501000,-0.7698,-0.6115,0.2653,1.018
0.502000,-0.7635,-0.6147,0.2536,1.012
0.503000,-0.7493,-0.6208,0.2431,1.003
0.503000,-0.7386,-0.6274,0.2399,0.998
0.515000,-0.7171,-0.6443,0.2367,0.993
0.518000,-0.6882,-0.6763,0.2353,0.993
0.519000,-0.6882,-0.6763,0.2353,0.993
0.520000,-0.6680,-0.6968,0.2372,0.994
0.521000,-0.6496,-0.7161,0.2406,0.996
0.521000,-0.6399,-0.7246,0.2409,0.996
0.522000,-0.6201,-0.7417,0.2426,0.997
0.524000,-0.6052,-0.7527,0.2472,0.997
0.526000,-0.5969,-0.7583,0.2480,0.996
0.527000,-0.5810,-0.7647,0.2526,0.993
0.528000,-0.5710,-0.7667,0.2548,0.989
0.530000,-0.5685,-0.7667,0.2568,0.988
0.531000,-0.5661,-0.7586,0.2621,0.982
0.533000,-0.5644,-0.7461,0.2685,0.973
0.534000,-0.5651,-0.7393,0.2702,0.969
0.535000,-0.5671,-0.7227,0.2717,0.958
0.547000,-0.5749,-0.7014,0.2709,0.947
0.552000,-0.5798,-0.6914,0.2702,0.942
0.553000,-0.5961,-0.6731,0.2670,0.938
0.555000,-0.6127,-0.6540,0.2646,0.934
0.556000,-0.6215,-0.6447,0.2646,0.934
0.557000,-0.6423,-0.6347,0.2678,0.942
0.558000,-0.6601,-0.6264,0.2749,0.951
0.560000,-0.6675,-0.6237,0.2793,0.955
0.561000,-0.6816,-0.6228,0.2861,0.967
0.574000,-0.6956,-0.6220,0.2929,0.978
0.576000,-0.7026,-0.6230,0.2964,0.985
0.577000,-0.7144,-0.6291,0.3061,1.000
0.578000,-0.7202,-0.6345,0.3176,1.011
0.579000,-0.7197,-0.6386,0.3215,1.015
0.580000,-0.7215,-0.6474,0.3279,1.023
0.581000,-0.7163,-0.6606,0.3362,1.031
0.582000,-0.7163,-0.6606,0.3362,1.031
0.584000,-0.7117,-0.6677,0.3389,1.033
0.585000,-0.7083,-0.6760,0.3413,1.037
0.586000,-0.7117,-0.6789,0.3447,1.042
0.587000,-0.7156,-0.6831,0.3516,1.050
0.588000,-0.7197,-0.6870,0.3513,1.055
0.589000,-0.7190,-0.6904,0.3486,1.056
0.590000,-0.7097,-0.6975,0.3352,1.050
0.591000,-0.6965,-0.7068,0.3176,1.042
0.593000,-0.6887,-0.7122,0.3098,1.038
0.594000,-0.6748,-0.7239,0.2951,1.033
0.594000,-0.6633,-0.7305,0.2854,1.027
0.594000,-0.6567,-0.7342,0.2814,1.024
0.595000,-0.6462,-0.7400,0.2768,1.021
0.598000,-0.6381,-0.7415,0.2741,1.016
0.603000,-0.6342,-0.7432,0.2724,1.014
0.604000,-0.6301,-0.7432,0.2700,1.011
0.604000,-0.6245,-0.7439,0.2612,1.006
0.605000,-0.6186,-0.7437,0.2578,1.001
0.610000,-0.6166,-0.7422,0.2521,0.997
0.611000,-0.6169,-0.7434,0.2472,0.997
0.611000,-0.6164,-0.7442,0.2460,0.997
0.614000,-0.6176,-0.7430,0.2441,0.997
0.615000,-0.6215,-0.7408,0.2426,0.997
0.623000,-0.6252,-0.7390,0.2441,0.998
0.624000,-0.6259,-0.7344,0.2431,0.995
0.624000,-0.6303,-0.7278,0.2443,0.993
0.625000,-0.6355,-0.7249,0.2455,0.995
0.625000,-0.6384,-0.7178,0.2470,0.992
0.629000,-0.6482,-0.7102,0.2538,0.994
0.630000,-0.6533,-0.7102,0.2568,0.999
0.631000,-0.6562,-0.7058,0.2597,0.998
0.636000,-0.6626,-0.7012,0.2665,1.001
0.638000,-0.6670,-0.6987,0.2746,1.004
0.638000,-0.6687,-0.6926,0.2768,1.002
0.639000,-0.6699,-0.6860,0.2788,0.999
0.641000,-0.6706,-0.6814,0.2822,0.997
0.643000,-0.6704,-0.6741,0.2839,0.992
0.646000,-0.6702,-0.6682,0.2868,0.989
0.647000,-0.6728,-0.6648,0.2883,0.989
